iter	Passed	Remaining
401	19479	38667
402	19512	38588
403	19545	38510
404	19583	38441
405	19627	38384
406	19683	38351
407	19732	38304
408	19776	38246
409	19820	38190
410	19880	38164
411	19932	38123
412	19984	38081
413	20023	38016
414	20078	37979
415	20135	37947
416	20183	37899
417	20216	37820
418	20258	37761
419	20303	37706
420	20351	37656
421	20393	37598
422	20432	37532
423	20480	37483
424	20530	37438
425	20578	37388
426	20624	37336
427	20704	37345
428	20746	37285
429	20792	37233
430	20848	37198
431	20891	37140
432	20936	37085
433	20986	37040
434	21022	36970
435	21072	36924
436	21111	36860
437	21181	36849
438	21223	36790
439	21260	36723
440	21314	36683
441	21362	36634
442	21405	36577
443	21453	36528
444	21500	36477
445	21548	36429
446	21603	36391
447	21650	36341
448	21700	36295
449	21750	36251
450	21792	36191
451	21856	36168
452	21908	36126
453	21971	36103
454	22010	36039
455	22056	35986
456	22107	35942
457	22162	35904
458	22203	35845
459	22247	35789
460	22285	35724
461	22326	35665
462	22373	35614
463	22419	35562
464	22456	35495
465	22491	35426
466	22545	35386
467	22590	35334
468	22623	35261
469	22660	35195
470	22699	35133
471	22748	35086
472	22787	35025
473	22823	34957
474	22877	34918
475	22933	34882
476	22980	34831
477	23013	34761
478	23068	34723
479	23103	34654
480	23136	34585
481	23183	34534
482	23232	34487
483	23304	34474
484	23365	34446
485	23406	34387
486	23453	34337
487	23493	34277
488	23531	34213
489	23564	34144
490	23596	34073
491	23644	34025
492	23697	33983
493	23752	33946
494	23802	33900
495	23843	33843
496	23889	33791
497	23926	33728
498	23974	33680
499	24017	33624
500	24058	33567
501	24098	33506
502	24127	33433
503	24160	33364
504	24197	33301
505	24240	33246
506	24284	33193
507	24329	33142
508	24385	33105
509	24416	33034
510	24463	32984
511	24503	32927
512	24552	32879
513	24604	32837
514	24657	32796
515	24707	32751
516	24762	32713
517	24814	32670
518	24873	32638
519	24916	32583
520	24965	32537
521	25015	32491
522	25058	32436
523	25099	32380
524	25157	32345
525	25200	32291
526	25255	32252
527	25296	32195
528	25354	32160
529	25398	32107
530	25440	32051
531	25489	32005
532	25535	31954
533	25591	31917
534	25657	31892
535	25710	31850
536	25765	31811
537	25811	31760
538	25864	31718
539	25909	31666
540	25957	31619
541	26007	31573
542	26063	31535
543	26113	31490
544	26186	31471
545	26231	31419
546	26275	31366
547	26310	31303
548	26352	31248
549	26395	31195
550	26439	31141
551	26490	31097
552	26533	31044
553	26583	30997
554	26632	30950
555	26671	30892
556	26711	30835
557	26756	30784
558	26804	30736
559	26857	30694
560	26915	30658
561	26973	30621
562	27030	30582
563	27065	30521
564	27103	30461
565	27142	30403
566	27195	30361
567	27247	30317
568	27291	30265
569	27330	30207
570	27388	30170
571	27439	30125
572	27504	30096
573	27582	30080
574	27627	30029
575	27677	29983
576	27731	29941
577	27766	29879
578	27803	29820
579	27850	29770
580	27913	29738
581	27962	29692
582	27998	29630
583	28038	29574
584	28077	29517
585	28124	29467
586	28188	29437
587	28245	29397
588	28291	29348
589	28348	29309
590	28405	29270
591	28460	29229
592	28505	29178
593	28550	29126
594	28601	29082
595	28647	29032
596	28690	28978
597	28741	28934
598	28778	28874
599	28817	28817
600	28860	28764
601	28896	28704
602	28935	28647
603	28985	28601
604	29031	28551
605	29074	28498
606	29117	28445
607	29151	28384
608	29201	28338
609	29240	28281
610	29278	28224
611	29326	28176
612	29369	28123
613	29410	28069
614	29454	28018
615	29492	27959
616	29532	27904
617	29565	27843
618	29623	27804
619	29696	27780
620	29756	27743
621	29809	27700
622	29849	27645
623	29895	27595
624	29930	27536
625	29971	27482
626	30021	27435
627	30074	27393
628	30123	27345
629	30180	27305
630	30232	27262
631	30266	27201
632	30307	27147
633	30344	27090
634	30380	27031
635	30426	26982
636	30479	26938
637	30524	26888
638	30577	26845
639	30632	26803
640	30675	26751
641	30726	26706
642	30787	26669
643	30841	26626
644	30880	26571
645	30923	26519
646	30956	26458
647	30987	26397
648	31025	26340
649	31065	26286
650	31106	26232
651	31151	26182
652	31208	26142
653	31248	26088
654	31292	26037
655	31328	25979
656	31360	25918
657	31399	25864
658	31443	25813
659	31487	25762
660	31523	25705
661	31563	25651
662	31611	25604
663	31656	25553
664	31703	25506
665	31744	25452
666	31812	25421
667	31851	25367
668	31907	25325
669	31973	25292
670	32026	25249
671	32063	25192
672	32096	25133
673	32127	25073
674	32161	25014
675	32215	24971
676	32263	24924
677	32304	24871
678	32357	24828
679	32401	24777
680	32482	24755
681	32530	24707
682	32560	24646
683	32598	24591
684	32631	24533
685	32673	24481
686	32719	24432
687	32766	24384
688	32814	24337
689	32870	24295
690	32912	24244
691	32953	24191
692	32998	24142
693	33053	24099
694	33099	24050
695	33151	24005
696	33203	23962
697	33261	23921
698	33304	23870
699	33336	23811
700	33373	23756
701	33416	23705
702	33473	23665
703	33517	23614
704	33552	23558
705	33601	23511
706	33639	23457
707	33687	23410
708	33738	23364
709	33781	23314
710	33817	23258
711	33881	23222
712	33935	23178
713	33985	23132
714	34032	23084
715	34087	23042
716	34127	22989
717	34160	22932
718	34195	22876
