iter	RMSE
0	1.089060199
1	1.075042184
2	1.063330329
3	1.047079062
4	1.030918253
5	1.01488797
6	1.003525436
7	0.9891331928
8	0.9782853757
9	0.9688138919
10	0.9594898767
11	0.9436992389
12	0.9320264989
13	0.9227882129
14	0.9101980753
15	0.8993441215
16	0.8904422518
17	0.8785845143
18	0.8688305438
19	0.8597345549
20	0.8515389138
21	0.8448130612
22	0.8357302348
23	0.8262015315
24	0.8187859584
25	0.8097569769
26	0.7997187669
27	0.7903365069
28	0.7827871887
29	0.7730706102
30	0.7621119427
31	0.7523915708
32	0.745660668
33	0.7396697755
34	0.7299272946
35	0.7203109698
36	0.7153204006
37	0.7061538019
38	0.7017957727
39	0.6948196178
40	0.6899084075
41	0.6858154777
42	0.6779713418
43	0.6747642249
44	0.669052854
45	0.6615288267
46	0.6527121237
47	0.6459443927
48	0.6416286329
49	0.6367681815
50	0.631305144
51	0.6260541754
52	0.6242528076
53	0.6188618452
54	0.6136300005
55	0.6103299202
56	0.6042272779
57	0.5977714101
58	0.5922274429
59	0.5864725788
60	0.5812773384
61	0.5749424474
62	0.5702393057
63	0.5680290642
64	0.5647627
65	0.5578584419
66	0.5557170006
67	0.5516012092
68	0.5461080094
69	0.5416202926
70	0.5364638942
71	0.5320554967
72	0.5300750105
73	0.5260128564
74	0.5210768248
75	0.5195367779
76	0.5159034903
77	0.5119054263
78	0.5089178617
79	0.5053468651
80	0.5020975305
81	0.4997070351
82	0.4956297272
83	0.4919497773
84	0.4870212577
85	0.4838726648
86	0.4816572637
87	0.4789609231
88	0.4774122379
89	0.4769643924
90	0.4733873109
91	0.4688164279
92	0.4662173268
93	0.4636936899
94	0.4616516831
95	0.4555132982
96	0.4529724937
97	0.4502225983
98	0.4468899382
99	0.4430921769
100	0.4412064372
101	0.4385182326
102	0.4350308615
103	0.4299495964
104	0.4258249022
105	0.424070065
106	0.4221538288
107	0.4201578938
108	0.4177401579
109	0.4146938567
110	0.4139014043
111	0.4120257286
112	0.4097776232
113	0.4068343171
114	0.4059124192
115	0.4041215121
116	0.4010267643
117	0.3989925236
118	0.3977347605
119	0.39491026
120	0.39395639
121	0.3928981877
122	0.3899475015
123	0.3864258157
124	0.3843600037
125	0.3814772375
126	0.3783012981
127	0.3745934614
128	0.3736915132
129	0.3710691712
130	0.3682401402
131	0.3672067114
132	0.3647153835
133	0.3611457336
134	0.3581648063
135	0.3554203399
136	0.3533890599
137	0.3514552904
138	0.3492211404
139	0.3480283767
140	0.34582708
141	0.3432291289
142	0.3409129658
143	0.3376900143
144	0.336692024
145	0.3351949006
146	0.3339753837
147	0.3323482608
148	0.3290908513
149	0.3276860881
150	0.3255879181
151	0.3236687885
152	0.322365209
153	0.3204151837
154	0.319263461
155	0.3172448399
156	0.3146436105
157	0.312128286
158	0.3104047101
159	0.3086815219
160	0.3071825444
161	0.3055895916
162	0.3046517289
163	0.3027192351
164	0.301247265
165	0.2990525983
166	0.2972098088
167	0.2952630552
168	0.2928063767
169	0.2913851972
170	0.2900417216
171	0.2884902116
172	0.2857837659
173	0.2847085687
174	0.2829465802
175	0.281382985
176	0.2808188564
177	0.2788413835
178	0.2769459488
179	0.2752164633
180	0.2739469519
181	0.272458987
182	0.2710086726
183	0.2696965463
184	0.2683325706
185	0.2672339349
186	0.2655735038
187	0.2644618859
188	0.2634666012
189	0.2617048697
190	0.2610137235
191	0.2593584267
192	0.2583128413
193	0.2570708561
194	0.2559932449
195	0.2540687522
196	0.2526247478
197	0.2517142668
198	0.2506316537
199	0.2493561172
200	0.2477438755
201	0.246539764
202	0.2452687413
203	0.2445657929
204	0.2443852794
205	0.2431252702
206	0.2421457595
207	0.2410247073
208	0.2401265167
209	0.2392108977
210	0.238402336
211	0.2374863701
212	0.2366888167
213	0.2347837107
214	0.2341702418
215	0.2330525331
216	0.2320705242
217	0.2312652718
218	0.2304756553
219	0.2289462149
220	0.2279525991
221	0.2272398202
222	0.226248051
223	0.2253549417
224	0.2248318765
225	0.2239059762
226	0.2229110548
227	0.2221901656
228	0.2212961778
229	0.2201749081
230	0.2193107207
231	0.2183042727
232	0.217462785
233	0.216787543
234	0.2161215849
